Video Name,Title,Category,Anomaly Tag,Video Description,Reasoning behind Normality/Anomalies,,,,
smartbench_0001,ring_00001,Baby Monitoring,Normal,"The video, captured by a Ring security camera, shows a suburban driveway scene on a cloudy day. A child and an adult are riding on tricycles. A girl in a pink shirt and white shorts stands near a basketball hoop, next to a hula hoop. As the riders approach the end of the driveway, the girl runs towards them. The riders on do quick turns to spin around while on the tricycles. The girl runs back and forth between the basketball hoop and the tricycles. Other toys, including a bicycle and a skateboard, are scattered on the driveway. The background reveals houses across the street and bare trees, suggesting early spring.","The video depicts children playing in a driveway, which is a common and expected activity in residential areas during daytime hours. Their movements, such as riding toys and playing basketball, are typical for children at play. The presence of an adult suggests supervision, further reinforcing the normalcy of the situation.",,,,
smartbench_0002,ring_00002,Baby Monitoring,Vague Abnormal,"The video, captured by a Ring doorbell camera, shows a woman pushing a stroller into the entryway of a brick house. The stroller, black with a white frame, is positioned in the center of the walkway. The woman, wearing a long dark dress, steps away from the stroller and from the camera's view toward the front door. The stroller then begins to reverse back down the entryway. Once the stroller reverses down the step, the woman notices and gasps. She chases the stroller that has now rolled into the lawn. She catches the stroller and appears relieved. The camera's perspective reveals a grassy front yard and a glimpse of neighboring houses. The environmental conditions appear to be daytime with natural light.","The stroller unexpectedly began to roll backward, initially unnoticed by the nearby adults. However, they soon became aware of the situation and quickly intervened, averting any potential harm to the baby.",,,,
smartbench_0003,ring_00004,Wildlife,Abnormal,"The video, captured by a Ring security camera, shows a wild turkey on the back porch of a home. The turkey stands on the top of a rail, facing a door. It moves its head from side to side, surveying the area. The camera angle shifts briefly, providing a closer view of the turkey and revealing a grill and a propane tank in the background. The turkey continues to look around resuming its side-to-side head movements. The weather appears overcast.","A wild turkey unexpectedly appeared in the yard, perching on the steps leading to the front door. There were no signs of human presence in the scene, suggesting the turkey was not domesticated.",,,,
smartbench_0004,ring_00007,Security,Abnormal,"The video, captured by a Ring.com doorbell camera, shows a sunny day with a clear blue sky. A green lawn is visible in the foreground, bordered by a neatly trimmed hedge. A white house with a brown roof stands across the street, partially obscured by the hedge. Two individuals approach the front door. The first person, wearing a red jacket and a baseball cap, walks towards the door and steps out of the camera's view. The second individual, dressed in a yellow bird costume with the words 'The Mater Hospital Foundation' printed on the front, steps into view and faces the camera. The bird mascot performs a small dance, moving its arms and head rhythmically. After a brief pause, the mascot turns and walks away from the camera, following the first individual.","The individual in the video is behaving unusually in front of the camera while dressed in strange and eccentric attire, which could potentially frighten viewers. This is considered an anomaly.",,,,
smartbench_0005,ring_00009,Wildlife,Vague Abnormal,"The video, captured by a Ring doorbell camera, shows a concrete pathway leading to a house. A male mallard duck, identifiable by its iridescent green head and yellow bill, walks at a moderate pace towards the camera. The duck walks from the right side of the frame towards the left, passing a small patch of grass. The camera's point of view is from inside the house, looking outwards. The environment appears to be daytime with natural light and the ground is slightly damp, suggesting it may have rained recently. After the duck passes the camera's field of view, a voice announces, 'Hi! You are currently being recorded.' This startles the duck and it quickly walks away from the camera.","A duck, whose domestication status is unknown, appears in front of the porch camera, attempting to enter the house. Upon hearing the voice broadcast, it quickly flees. This could be considered an anomaly.",,,,
smartbench_0006,ring_00012,Wildlife,Abnormal,"The video, captured by a Ring security camera at night, begins with a close-up of a coyote's face. The coyote is looking directly at the camera. The image is in black and white due to the night vision setting. A voice, likely from the camera's speaker, can be heard saying, 'Hi, you are currently being recorded.' The coyote moves its head back, startled, and the camera captures a wider view of the surroundings. The environment is dark, illuminated only by the camera's night vision. A snowy yard is visible, bordered by a dark forest. The coyote continues to move backward, away from the camera, and then turns and runs out of the frame to the left. The camera continues to record the empty yard and forest for a few more seconds. ","A wolf appears in front of the camera, attempting to damage it. Upon hearing the camera's triggered response, the wolf leaves the scene. This is considered an anomaly.",,,,
smartbench_0007,ring_00014,Wildlife,Abnormal,"The video, captured by a Ring security camera at night, shows a black bear in a backyard. The bear, initially facing the camera, is interacting with a black trash can. It pushes the can over, spilling its contents. The bear then rummages through the spilled trash, using its mouth and paws. The trash can appears to be made of plastic and has a white lid. The bear is alone in the video and moves around the can freely. The environment is dimly lit, with the only light source coming from the camera itself. The ground is covered in grass and appears to be slightly damp.","A bear appeared in the yard, carried away the trash can, and knocked it over to rummage for food. This could potentially cause damage to the homeowner's property, or even attack people and other animals, causing trouble. This is considered an anomaly.",,,,
smartbench_0008,ring_00018,Wildlife,Abnormal,"The video, captured by a Ring doorbell camera, shows a gray squirrel approaching the front entrance of a house. The squirrel, with its bushy tail held high, briefly pauses and looks directly at the camera. It then proceeds to climb onto the railing, using its front paws to grip the top. After a brief pause, the squirrel jumps down from the railing onto the steps and quickly scurries away. The environment appears to be overcast and slightly rainy, with wet streets and sidewalks visible in the background. A silver SUV is parked on the street in front of the house.","In the video, a small squirrel is seen slapping the camera lens, pressing the doorbell, and then running away. This is considered an anomaly.",,,,
smartbench_0009,ring_00019,"Wildlife, Pet Monitoring",Abnormal,"The video, captured by a Ring security camera, shows a black squirrel with a bushy tail attempting to reach inside a metal container placed on a stand on a grassy lawn. A white car is parked on a paved driveway to the left. A ginger cat approaches from the left, causing the squirrel to momentarily hesitate. The cat sits and observes the squirrel. The squirrel, undeterred, resumes its attempt to access the container. As the cat takes a step closer, the squirrel quickly moves away, its bushy tail twitching. The cat continues to watch the squirrel as it disappears from view. The environment appears to be a residential area on an overcast day.","In the video, a small squirrel is attempting to find food from a tray placed at the door when a cat suddenly appears. There is a potential for a fight between the two animals. Additionally, the cat may have escaped from its home, which is considered an anomaly.",,,,
smartbench_0010,ring_00022,Security,Abnormal,"The video takes place at night in a driveway. Two vehicles, a dark-colored Jeep Grand Cherokee and a dark-colored RAM 1500 pickup truck, are parked next to each other. A person wearing light-colored clothing walks from behind the pickup truck towards the Jeep. The person's face is blurred. As they approach the driver's side of the Jeep, a voice announces, 'Hi, you are currently being recorded.' The person is startled by the voice and runs off back out of view behind the Jeep. The sound of leaves rustling suggests a slight breeze.","At the entrance of the house, an individual approaches a parked vehicle and attempts to open it. Upon hearing a voice broadcast, they quickly flee the scene. This may indicate a potential theft, and is considered an anomaly.",,,,
